gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT3G58930,1298,1326,1524,1115,1365,1455
AT3G58940,746,618,775,578,563,614
AT3G58950,2,5,1,0,12,2
AT3G58960,0,0,0,0,0,0
AT3G58970,2415,1866,2368,2273,1818,2307
AT3G58980,628,407,671,481,294,518
AT3G58990,7783,3530,14437,7447,2339,8345
AT3G59000,703,525,862,696,443,674
AT3G59010,16,4,28,26,22,28
AT3G59020,11055,8705,12309,10710,7338,10799
AT3G59030,33,20,22,25,13,23
AT3G59040,684,548,670,665,531,700
AT3G59050,1972,1804,2627,2112,1398,2361
AT3G59052,1972,1804,2627,2112,1398,2361
AT3G59060,8,20,22,15,41,56
AT3G59068,94,75,83,94,39,51
AT3G59070,101,75,83,94,42,53
AT3G59080,851,689,1323,1155,732,1218
AT3G59090,2970,2623,3330,3133,2503,3478
AT3G59100,6884,4254,7710,6109,3202,6560
AT3G59110,1683,1573,2233,1858,1267,1891
AT3G59120,466,414,578,549,392,490
AT3G59130,90,74,164,68,69,55
AT3G59140,1637,1525,2046,1381,1016,1110
AT3G59150,1063,1108,1286,1218,911,1110
AT3G59160,0,2,2,1,0,0
AT3G59170,0,0,0,0,0,0
AT3G59180,0,0,0,2,0,2
AT3G59190,9,8,3,14,6,10
AT3G59200,709,782,834,636,638,634
AT3G59210,3338,3671,4384,4338,3176,4096
AT3G59220,4569,4553,8108,5659,5450,8395
AT3G59230,0,0,4,0,2,0
AT3G59240,0,0,0,2,0,0
AT3G59250,0,0,0,2,0,0
AT3G59260,0,4,0,2,2,2
AT3G59270,6,6,10,15,5,12
AT3G59280,4421,4262,5716,4864,4430,5388
AT3G59290,1611,1261,2440,1963,1239,1818
AT3G59300,3850,3452,4462,3799,3029,3858
AT3G59310,1676,1514,1797,1439,1355,1512
AT3G59320,1883,1675,1983,1887,1482,1759
AT3G59330,787,773,706,773,493,709
AT3G59340,307,216,319,236,187,162
AT3G59350,2677,2297,2779,3047,2145,2548
AT3G59360,4080,3821,4898,4312,3195,4435
AT3G59370,817,1149,2183,584,655,866
AT3G59380,3591,3554,3833,3607,3152,3427
AT3G59390,764,675,855,746,734,835
AT3G59400,49,85,216,69,105,258
AT3G59410,2368,2291,2876,2623,1963,2667
AT3G59415,0,0,2,2,0,1
AT3G59420,854,780,796,702,654,665
AT3G59430,820,861,839,733,586,703
AT3G59440,214,249,292,217,195,201
AT3G59450,112,104,134,83,71,79
AT3G59455,0,0,0,0,0,0
AT3G59460,1,0,0,0,0,0
AT3G59470,1241,1324,1409,1198,1223,1285
AT3G59480,422,610,664,497,590,405
AT3G59490,629,589,665,680,626,569
AT3G59500,2147,2366,2967,2132,2363,2432
AT3G59510,5,6,10,6,0,2
AT3G59520,816,914,1094,911,852,1012
AT3G59530,236,230,275,230,249,274
