,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G13480,938.232324557456,1029.82118086363,992.444740619135,1018.03715744483,1108.89570996085,973.977987779637
AT3G13490,2518.73098287849,2613.65311464105,2191.78897801141,2636.37887654086,2735.2760845701,2359.78599153375
AT3G13500,36.240733566597,28.6367387192024,14.297932703835,24.8059736219502,13.5358161779259,19.5619257587876
AT3G13510,1900.62513815931,1674.14780204568,2000.86952367197,1755.27069348919,1957.48726265389,2235.20741170147
AT3G13520,7081.03666409565,5888.15404587908,7235.59500300544,11054.5340848859,9544.83283869588,6740.62778646225
AT3G13525,10.0668704351658,7.70989119363142,12.615822973972,6.94567261414605,13.5358161779259,5.14787519968096
AT3G13530,2676.7808487106,2515.62735517917,2931.07620428617,3269.42732337303,1907.50886445848,2829.27220974465
AT3G13540,12.080244522199,3.30423908298489,9.25160351424617,5.95343366926804,2.08243325814244,8.23660031948953
AT3G13550,1018.76728803878,1056.2550935275,954.597271697219,891.03057250045,927.724016502458,877.197934025635
AT3G13560,2168.40389173472,2006.77453639949,2238.88805044757,2035.08207594479,2124.08192330529,2455.53647024782
AT3G13570,5689.79516995573,6160.20306371151,4764.57580983678,6036.78174063779,7031.33589611795,5363.05638302762
AT3G13580,17514.3411831015,19385.9706998724,14055.7089027347,16896.8369923276,23696.0080444028,17006.520509666
