genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G24780	217489.541472826	7.91907928511507	0.466843653227615	16.9630222674443	1.54204728779905e-64	1.64389250185232e-61
AT3G55970	1861.28208676548	7.89326802516518	0.712770863089726	11.0740610116263	1.67628107778729e-28	3.19624553799555e-26
AT1G66280	30.4036843563734	7.8533665084168	1.61878632188061	4.85139168911016	1.2259815535503e-06	1.64773325933612e-05
AT4G11310	46.0975215196719	7.73175803993742	1.12548244554145	6.86972779590339	6.43245250698626e-12	2.49768722924419e-10
AT3G09940	27.8485523777568	7.72615044520186	1.53562954158487	5.03125932132563	4.87268534441737e-07	7.17833476021486e-06
AT1G76640	27.8544289012948	7.72600961759268	1.53609023346035	5.0296587070854	4.91353651194751e-07	7.23225613343538e-06
AT3G45130	542.181572746077	7.58707947477392	0.741592948670212	10.2307869679434	1.44341606416794e-24	1.97967467560998e-22
AT5G42655	14.9425749364467	7.55994803582074	1.12443260247982	6.7233447510754	1.77599699121068e-11	6.36887728361835e-10
AT4G17470	7439.52117019359	7.55934595074608	0.678017043763233	11.1491975316565	7.22550395612262e-29	1.4121645356912e-26
AT4G15100	317.70722999934	7.55514269066034	0.912536563112081	8.27927668442627	1.23925696300409e-16	8.18712494460141e-15
AT4G22880	3533.08812034517	7.50999698185842	0.201537905778066	37.2634465604125	6.41808893558965e-304	1.50523439806384e-299
AT5G07010	1260.70320870731	7.49177770805283	0.771485764131505	9.71084374639972	2.71083696713785e-22	3.0131402554637e-20
AT1G69930	14.2680715903792	7.49106877180819	1.29882915878753	5.76755512541864	8.04297809497131e-09	1.74659227093854e-07
AT4G29690	74.8552997364183	7.44477540943163	0.797795695859918	9.33168159224918	1.04204314291702e-20	1.03995905663119e-18
AT4G22870	37.3688894557624	7.44099620095268	1.0125852271387	7.34851348955486	2.0042324263652e-13	9.51523544444189e-12
AT1G28480	140.152968206364	7.3699526785328	1.24807418877303	5.90505976714263	3.5251892609581e-09	8.22649390420401e-08
AT2G47950	21.6486726238114	7.3651329969461	1.24010942223304	5.93909929632165	2.86592250940641e-09	6.78934147607157e-08
AT3G29110	11.6277516541076	7.19229394477971	2.30482360073876	3.12053987232445	0.00180519857532485	0.00873114501693004
AT1G26250	31.6133964198785	7.17211819323298	1.15736932885221	6.19691399662865	5.75809428995475e-10	1.57028587653847e-08
AT3G50280	274.446639485367	7.16879084727882	0.465361487587203	15.4047789481838	1.52008023952582e-53	1.04854240757644e-50
AT1G26255	31.199045181604	7.15303080196814	1.15692729373786	6.18278334402311	6.29811263035329e-10	1.70960226295921e-08
AT1G26390	10.5330726679572	7.05134816270836	1.1453070202893	6.15673180884475	7.4261447539904e-10	1.97690548144537e-08
AT5G59090	27.4736165077825	7.0151425153588	1.14919002000002	6.10442345762684	1.03172418553591e-09	2.66890850395528e-08
AT5G21960	53.1131286405899	6.97710752869123	0.880966086744427	7.91983668119944	2.37822751664166e-15	1.40849924110598e-13
AT3G59930	16.5706069545696	6.97654481502094	1.40400131963318	4.96904434309484	6.72836833642916e-07	9.65730860430068e-06
AT5G28235	9.16965045992815	6.85186662321614	1.28603101263815	5.32791709988418	9.93454458101309e-08	1.72716733920311e-06
AT4G35160	578.332139701739	6.82452763814966	0.738316824820575	9.2433592310566	2.38877391142738e-20	2.28669038957985e-18
AT4G13410	3763.55277183339	6.81592406882699	0.576609057058503	11.8207024072732	3.0512261293996e-32	7.8637809244845e-30
AT1G54020	684.00708530365	6.79060578816674	1.06595047511447	6.37047024857088	1.88449497781376e-10	5.65179804535374e-09
AT2G24850	619.696214861547	6.69781013155056	0.907697062298069	7.37890471364238	1.59596996908828e-13	7.60778123679418e-12
AT5G12340	7.95405872045386	6.64792252524018	1.34387824676853	4.94681905985582	7.54360359094432e-07	1.06578394589408e-05
AT2G24210	1485.7239290429	6.62607649079192	0.811494820999475	8.16527267867334	3.20709940519999e-16	2.05508476366545e-14
AT4G13395	61.3633431520002	6.57012035390789	0.780159095285315	8.42151350104443	3.7165148828702e-17	2.55611212750601e-15
AT3G04170	7.47683520753173	6.56370272184421	1.2046155841347	5.44879446048265	5.07123772004796e-08	9.41692306003839e-07
AT5G54060	1564.08332053819	6.55766671366033	0.253642684197325	25.8539556715884	2.1962498119187e-147	1.71695489463098e-143
AT1G66370	7.3174954403421	6.5265277904009	1.37048733322535	4.76219490116786	1.9149859293001e-06	2.42375418240018e-05
AT3G43250	7.18228150875079	6.50191700514126	1.52261928982026	4.27021846407107	1.95281588757231e-05	0.00018430338435104
AT3G29590	889.299186318417	6.47201439094759	0.256169067217768	25.2646209834764	7.82406651036695e-141	4.5874457966909e-137
AT1G07747	11.598436470486	6.45865286230849	1.40460688151315	4.59819252440992	4.26172089056568e-06	4.86138813455433e-05
AT2G05440	413.147448696906	6.43790588999183	0.78254753328868	8.22685602615899	1.92191234433933e-16	1.24860416099142e-14
AT5G19110	71.4580950635809	6.40719939680614	0.692619649343033	9.25067517631579	2.2307902486959e-20	2.15303389722901e-18
AT4G08869	10.8416172172191	6.35396778492486	1.14229350909217	5.56246510581561	2.65990229483671e-08	5.30465038442222e-07
AT1G28590	17.6482808578955	6.34592010338348	1.24617796125277	5.09230647684059	3.53733697561628e-07	5.36618137704584e-06
AT3G28300	384.304921802675	6.31689603035594	0.544570411483128	11.5997782787206	4.13147236404721e-31	1.00932730577083e-28
AT2G39330	9806.23589901017	6.29585913467351	0.554474125356421	11.3546491112213	7.03216499180575e-30	1.49932150502564e-27
AT5G22545	10.3084618075688	6.28876982132262	1.22828287470753	5.11996865772477	3.05586439874648e-07	4.70888224335094e-06
AT3G23250	38.0385469172334	6.21126006218103	1.22595700204947	5.06645832749232	4.05285423998819e-07	6.05424143251229e-06
AT4G21850	22.0538787613038	6.17770108396806	1.18155654880724	5.22844301460168	1.70943504720249e-07	2.79035310062571e-06
AT5G56080	9.5486178515903	6.16983092829003	1.47224393955723	4.19076673539954	2.780133682797e-05	0.000249149695310042
AT3G26830	37.7459102823957	6.1632788525993	1.35306920354461	4.55503594084728	5.23766222817167e-06	5.82450887801376e-05
AT4G37010	15.3501449691199	6.15066705929853	1.24645949614127	4.93451016927502	8.0352159284272e-07	1.12979567847364e-05
AT2G29460	235.539814907304	6.11954070043425	1.05403981003679	5.80579655736216	6.40607086000497e-09	1.41603751064747e-07
AT1G66860	5.40658534820242	6.09291796835783	1.61010093103872	3.78418386754618	0.000154213787843784	0.00109499726500159
AT4G24340	36.0537390216032	6.08992194893414	0.90854525335924	6.70293738965381	2.04271004412473e-11	7.24775774052303e-10
