"genes","go"
"AT3G06700","GO:0003735"
"AT3G06700","GO:0005840"
"AT3G06700","GO:0006412"
"AT3G06700","GO:0003735"
"AT3G06700","GO:0005840"
"AT3G06700","GO:0006412"
"AT3G06700","GO:0003735"
"AT3G06700","GO:0005840"
"AT3G06700","GO:0006412"
"AT4G26550","GO:0016021"
"AT4G26550","GO:0016192"
"AT5G16880","GO:0035091"
"AT5G16880","GO:0043130"
"AT5G16880","GO:0043328"
"AT5G16880","GO:0035091"
"AT5G16880","GO:0043130"
"AT5G16880","GO:0043328"
"AT5G16880","GO:0035091"
"AT5G16880","GO:0043130"
"AT5G16880","GO:0043328"
"AT2G41473","GO:0005515"
"AT5G49290","GO:0005515"
"AT3G62910","GO:0006415"
"AT3G62910","GO:0003747"
"AT2G22740","GO:0005515"
"AT2G22740","GO:0005634"
"AT2G22740","GO:0008270"
"AT2G22740","GO:0018024"
"AT2G22740","GO:0034968"
