gene,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT5G18210,553,514,624,489,511,526
AT5G18220,142,152,179,119,144,105
AT5G18230,9323,8022,10913,10254,8108,9903
AT5G18240,883,727,928,775,730,795
AT5G18245,1080,943,1135,1002,1099,990
AT5G18250,877,672,865,996,1133,727
AT5G18255,2843,2861,3193,3133,3600,3162
AT5G18260,2476,2500,2763,2744,3242,2752
AT5G18270,2534,2442,3339,5622,2720,3267
AT5G18280,3990,4132,5431,3620,3471,3472
AT5G18290,339,289,521,302,335,301
AT5G18300,48,48,76,59,52,41
AT5G18310,6717,5959,7704,6504,6052,5759
AT5G18320,25,25,26,190,111,116
AT5G18330,0,4,1,4,2,0
AT5G18340,27,37,58,41,64,41
AT5G18350,80,48,67,113,40,34
AT5G18360,688,576,738,707,587,617
AT5G18362,302,252,334,314,359,306
AT5G18370,1048,938,1317,1229,572,1205
AT5G18380,55348,50744,56353,50941,66205,44512
AT5G18390,596,656,769,576,611,665
AT5G18400,3657,3379,4439,4589,4733,3863
AT5G18403,0,2,0,0,0,0
AT5G18404,0,0,0,1,0,0
AT5G18407,0,1,1,0,0,1
AT5G18410,4807,3930,5545,4711,3767,4321
AT5G18420,3317,3205,3777,3700,3538,3297
AT5G18430,1,0,0,2,2,2
AT5G18440,1251,1183,1754,1757,1312,1634
AT5G18450,0,0,0,0,1,0
AT5G18460,883,749,1154,502,439,565
AT5G18470,1645,1121,2683,1723,1812,2174
AT5G18475,350,298,447,322,287,354
AT5G18480,5464,5605,7538,5691,5361,5480
AT5G18490,1583,1272,1968,1200,998,1220
AT5G18500,5061,5132,6509,5597,5180,5098
AT5G18510,4,15,13,12,11,5
AT5G18520,8253,7650,12170,7265,6832,7752
AT5G18525,3089,2682,3689,3142,2312,3154
AT5G18540,1076,893,914,1004,1288,1005
AT5G18550,1424,1224,1910,2560,2217,2572
AT5G18560,508,271,296,4214,2533,2546
AT5G18570,771,829,1025,1085,929,1110
AT5G18580,6071,5366,6605,6462,6159,5863
AT5G18590,1889,1891,2184,1909,1721,1717
AT5G18600,2,0,2,0,0,4
AT5G18610,2030,1745,2545,1906,1779,2046
AT5G18620,8022,7549,8908,8679,8113,8150
AT5G18630,1937,1847,2157,1843,1697,1525
AT5G18636,9,9,11,15,12,18
AT5G18640,1924,1751,2225,1623,1862,1740
AT5G18650,5569,5025,6216,5163,4952,4819
AT5G18660,321,246,331,236,298,278
AT5G18661,141,114,274,127,69,116
AT5G18670,1526,1517,2045,1119,1158,1283
AT5G18680,5878,4582,7769,3662,3875,4938
AT5G18690,2753,1580,3698,2062,1907,2689
AT5G18700,2560,2238,2813,2798,1740,2304
AT5G18710,75,92,103,105,117,91
AT5G18720,4,6,26,4,12,10
AT5G18730,80,85,98,92,64,100
AT5G18740,149,139,106,106,112,99
AT5G18748,34,21,38,59,10,58
AT5G18750,1157,1068,1389,1425,1235,1459
AT5G18755,0,0,0,0,0,0
AT5G18760,592,563,724,624,584,715
AT5G18770,692,611,735,684,712,837
AT5G18780,1347,1405,1670,1347,1429,1283
AT5G18790,1999,2508,2403,1865,3196,1925
AT5G18800,7732,6481,7993,7632,8309,5949
AT5G18810,400,386,450,494,454,389
AT5G18820,717,645,844,951,955,985
