,root_control_1,root_control_2,root_control_3,root_auxin_1,root_auxin_2,root_auxin_3
AT1G03106,38.2541076536302,30.8395647745257,20.1853167583553,30.7594072912182,15.6182494360683,13.3844755191705
AT1G03110,2826.77721819457,2972.71376165874,2518.11826560482,2882.45413487061,3220.48303371729,2735.58088111046
AT1G03120,22.1471149573648,26.4339126638792,19.3442618934238,15.8758231180481,17.7006826942108,12.3549004792343
AT1G03130,157.043178788587,159.704889010937,142.97932703835,137.921213338043,153.058844473469,159.58413119011
AT1G03140,4661.9676985253,4923.31623364749,4101.82457627078,4709.16603239102,5590.29208148338,4747.37050914578
AT1G03150,1925.79231424723,2055.2367096166,2028.62433421471,2065.84148323601,2408.33406304173,2033.41070387398
AT1G03160,1346.94726422519,1117.93422307656,1289.33710793994,1296.85630095555,1029.76324615144,1272.55474936113
AT1G03170,34.2273594795639,34.1438038575106,68.9664989243805,85.3325492595086,117.657479085048,193.560107508004
AT1G03180,607.0322872405,842.580966161148,677.049166269833,622.13381843851,887.11656796868,602.301398362672
AT1G03190,1483.85670214344,1461.57508770699,1380.17103335254,1438.74647007311,1502.47559574977,1482.58805750812
AT1G03200,171.136797397819,164.110541121583,168.210972986294,163.719425904871,182.212910087464,196.648832627813
AT1G03210,3072.40885681261,3598.31636137055,2861.26865049686,2889.39980748476,3805.64677925531,2733.52173103059
AT1G03220,44172.4207824642,43524.5386141047,41325.2307884078,42507.5163985738,43849.7971167054,36093.8121750431
AT1G03230,9264.54086148312,9934.74550950792,10504.7752629941,7441.79208658505,10413.2075073413,8906.85367048799
AT1G03240,21.1404279138483,36.3466299128338,16.8210972986294,10.9146283936581,2.08243325814244,18.5323507188514
AT1G03250,1789.88956337249,1886.72051638438,1853.68492230896,1886.24623421309,2202.17317048563,2040.61772915353
AT1G03260,1088.22869404143,1148.77378785108,1110.19242170954,1086.50164464142,1316.09781914602,1061.49186617421
AT1G03270,400.6614433196,349.147929768737,296.051312455877,383.004232722911,446.681933871554,416.977891174158
AT1G03280,3741.85574075114,3820.8017929582,3828.48174516805,4037.42026670861,4587.6004676878,4284.06174117449
AT1G03290,3096.56934585701,2936.36713174591,3178.34633457603,3010.45295875987,2935.18967735177,3345.08930475269
AT1G03300,369.454144970586,356.857820962369,331.375616782999,420.709312628275,473.753566227405,360.351263977667
AT1G03310,1224.13144491617,1154.28085298939,1128.69562873803,1172.8264328458,1121.3903095097,1389.92630391386
AT1G03320,4.02674817406634,4.40565211064653,6.72843891945176,1.98447788975601,6.24729977442732,4.11830015974477
AT1G03330,3816.35058197137,3729.38451166228,3115.26721970616,4308.3014986603,4948.90263797551,3477.90448490445
AT1G03340,211.404279138483,216.978366449341,182.508905690129,243.098541495112,211.366975701458,184.293932148578
AT1G03350,4257.27950703163,4381.42102403797,4380.2137365631,3880.64651341788,3983.69482282649,4172.86763686138
AT1G03360,2515.71092174794,2604.84181041976,2276.73551936949,2909.24458638232,3792.11096307739,2646.00785263601
AT1G03365,1826.13029693908,2103.69888283372,2142.16674098045,2035.08207594479,1813.79936784207,2181.66950962479
AT1G03370,3289.8532582122,3376.93234281056,3634.19807136888,3841.94919456764,2716.53418524681,3605.57178985654
AT1G03380,3774.06972614367,3129.1144115867,3345.71625269739,3159.28880049157,2236.53331924498,3144.32217196513
AT1G03390,3.02006113054975,6.60847816596979,6.72843891945176,6.94567261414605,18.741899323282,6.17745023961715
AT1G03400,91.6085209600092,66.0847816596979,74.0128281139694,62.5110535273144,43.7310984209913,72.0702527955334
AT1G03410,3117.70977377086,3326.26734353813,2702.30928102481,2151.17403249552,3000.78632498326,2447.29986992833
AT1G03430,1374.12781440014,1426.32987082181,1492.87238525336,1121.23000771215,1172.40992433419,1217.98727224451
AT1G03440,746.961786289305,687.281729260858,625.744819509014,572.52187119461,500.825198583257,465.367918051159
AT1G03445,29.1939242619809,19.8254344979094,23.5495362180812,47.6274693541443,35.4013653884215,35.0055513578305
AT1G03457,1137.55635917374,1111.32574491059,1159.8146587405,1373.25869971116,971.455114923449,1058.4031410544
AT1G03470,886.891285338111,824.958357718562,748.538829789008,968.425210200935,1026.63959626422,791.743205710931
AT1G03475,2807.65016436775,2731.50430860085,2767.07050562454,2814.9818866189,2964.34374296577,2797.35538350663
AT1G03490,0,0,0,1.98447788975601,0,0
AT1G03495,519.450514454557,602.472926130912,568.553088693674,983.308794374105,1110.97814321899,866.902183626273
AT1G03502,33.2206724360473,16.5211954149245,20.1853167583553,25.7982125668282,30.1952822430654,40.1534265575115
AT1G03506,52.3477262628624,33.0423908298489,29.4369202726015,47.6274693541443,41.6486651628488,44.2717267172562
AT1G03510,203.35078279035,142.08228056835,169.893082716157,238.137346770722,173.883177054894,202.82628286743
AT1G03515,0,0,0,0,0,2.05915007987238
AT1G03520,732.868167680073,698.295859537474,812.4589995238,704.489650863385,748.634756302208,846.310682827549
AT1G03530,3380.45509212869,3215.0246277443,3207.78325484863,3679.22200760765,2730.07000142474,3893.85280103868
AT1G03540,226.504584791231,183.935975619492,179.985741095335,209.362417369259,114.533829197834,229.595233905771
AT1G03545,863.737483337229,1080.48618013606,888.153937367632,910.87535139801,739.263806640567,643.48439996012
AT1G03550,1059.03476977945,1299.66737264073,1054.68280062406,1100.39298986971,908.982117179176,763.944679632654
AT1G03560,1093.26212925901,1154.28085298939,1206.07267631173,1143.05926449946,1047.46392884565,1326.09265143781
AT1G03570,0,1.10141302766163,0,0,0,0
AT1G03590,3005.96751194052,3787.75940212835,3531.58937784724,3773.48470737106,3687.98930017026,3902.08940135817
