gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,uniprot_id,ipath_id
AT3G07195,126.19118692089039,-1.1154876735133648,0.28134481740547235,-3.964841733358575,7.344466011528403e-5,0.0014961366637744368,A0A1I9LSZ8,UNIPROT:A0A1I9LSZ8
AT3G07420,117.13833041069331,-1.3176318507925746,0.2882894173746082,-4.570517581921576,4.865210995927988e-6,1.6414451029759435e-4,A0A1I9LPQ1,UNIPROT:A0A1I9LPQ1
AT3G08040,473.47075156025807,-1.8976381483070852,0.29024101634648,-6.538146028408847,6.228609505525613e-11,1.4955951611619002e-8,A0A2H1ZEH4,UNIPROT:A0A2H1ZEH4
AT3G09220,951.3379718699322,-1.3114964264456759,0.22497728255669663,-5.829461586261115,5.5606495068735186e-9,6.275471000982109e-7,A0A178V5P5,UNIPROT:A0A178V5P5
AT3G10740,2785.954413037001,-1.0799130220989739,0.2120523229592549,-5.092672445311883,3.5305134800386895e-7,1.9627394029052527e-5,A0A1I9LPN8,UNIPROT:A0A1I9LPN8
AT3G11280,705.7542576720375,-1.069196808380601,0.23186475439069246,-4.611295111196601,4.001679559737785e-6,1.3981719712514174e-4,A0A384KX37,UNIPROT:A0A384KX37
AT3G11520,122.53215467472708,-1.0826153696219534,0.29683638005604784,-3.6471788579874773,2.6513537328302835e-4,0.004005602751252499,A0A1I9LQ45,UNIPROT:A0A1I9LQ45
AT3G11660,676.8339598632729,-1.2481894956876172,0.31563940878378155,-3.9544792600427425,7.670152461405422e-5,0.0015471225308881303,Q9SRN0,UNIPROT:Q9SRN0
AT3G11690,1120.7478103943436,-1.03745112651749,0.23879011372680206,-4.344615069384446,1.3952009486620588e-5,3.907081961817783e-4,A0A384L831,UNIPROT:A0A384L831
AT3G11840,97.99532142096348,-1.0790100508559848,0.31689991887561053,-3.40489216495987,6.619018558850799e-4,0.008204166276321877,A0A178VEQ8,UNIPROT:A0A178VEQ8
AT3G11930,4238.384465765309,-1.6082048091669814,0.2728065710816498,-5.895036922280193,3.745976107355439e-9,4.4735675512761693e-7,A0A384KK41,UNIPROT:A0A384KK41
AT3G12040,127.5682280036407,-1.082366029941497,0.2849313119204114,-3.7986910692491023,1.4546226813589523e-4,0.002527504891528323,A0A1I9LNN7,UNIPROT:A0A1I9LNN7
AT3G12090,191.1656356651235,-1.6455834231856092,0.29395276116267477,-5.5981220134718725,2.1668623315137204e-8,1.9932776508963515e-6,Q9C7C1,UNIPROT:Q9C7C1
AT3G12750,63.432603661779254,-1.4036692869932244,0.32199385132097424,-4.359304630304881,1.3047637898281027e-5,3.7043803144918376e-4,O81123,UNIPROT:O81123
AT3G12977,109.11780239955377,-1.427507953615608,0.3596343232344611,-3.969331794521053,7.207446392564087e-5,0.0014775592418398182,A0A178V7Z0,UNIPROT:A0A178V7Z0
AT3G13730,224.72601693003872,-1.9797973375822098,0.29514922490804646,-6.707784301988306,1.97601720844557e-11,5.645656254661388e-9,A0A384L4N6,UNIPROT:A0A384L4N6
AT3G13950,50.20593965434315,-1.9320289242253632,0.40933764695935804,-4.719890629598476,2.35971484075293e-6,8.9968114308504e-5,B9DG91,UNIPROT:B9DG91
AT3G14260,199.48752617113823,-2.1109030054824864,0.27710876150509733,-7.617597487777942,2.5844071138793866e-14,1.3888726896993247e-11,Q9LUM1,UNIPROT:Q9LUM1
AT3G14280,202.4765479308419,-1.599181770229006,0.24097073482469542,-6.6364148799745335,3.214043972646862e-11,8.43537052402469e-9,A0A384KCN9,UNIPROT:A0A384KCN9
AT3G14470,245.89431789581053,-1.1538909713566519,0.27608101125717843,-4.179537615072573,2.9210240357241302e-5,7.074080848747784e-4,Q9LRR4,UNIPROT:Q9LRR4
AT3G14990,6753.237527895455,-1.108643440168606,0.19625718387342284,-5.648931765390213,1.614479177934585e-8,1.5440477936562138e-6,Q9FPF0,UNIPROT:Q9FPF0
