gene,Atha_WT_Col_0_sl_FLT_Rep1_G1S1,Atha_WT_Col_0_sl_FLT_Rep2_G1S2,Atha_WT_Col_0_sl_FLT_Rep3_G1S3,Atha_WT_Col_0_sl_GC_Rep1_G2S1,Atha_WT_Col_0_sl_GC_Rep2_G2S2,Atha_WT_Col_0_sl_GC_Rep3_G2S3
AT1G04937,0,0,0,1,0,0
AT1G04940,1741,1058,1099,690,912,992
AT1G04943,0,0,0,0,0,0
AT1G04945,154,82,110,106,129,174
AT1G04947,0,0,0,3,1,0
AT1G04950,791,408,441,512,474,712
AT1G04953,10,2,7,10,8,4
AT1G04957,0,1,1,0,1,0
AT1G04960,367,251,289,251,446,486
AT1G04963,0,0,0,0,0,0
AT1G04967,0,0,3,2,1,1
AT1G04970,749,505,586,508,915,944
AT1G04973,27,47,91,46,19,41
AT1G04977,608,296,297,663,438,591
AT1G04980,255,100,105,107,153,186
AT1G04983,0,0,0,0,0,0
AT1G04985,446,337,356,342,423,558
AT1G04987,1,0,0,0,0,0
AT1G04990,581,425,496,255,592,531
AT1G04993,0,0,0,0,0,0
AT1G04997,0,0,0,0,0,0
AT1G05000,403,290,289,259,456,489
AT1G05003,0,0,0,0,0,0
AT1G05005,4,0,2,5,4,2
AT1G05007,0,0,0,0,0,0
AT1G05010,1579,1313,1275,1218,2726,2260
AT1G05013,0,0,0,0,0,0
AT1G05017,0,2,1,1,2,0
AT1G05020,73,75,91,100,146,125
AT1G05023,0,1,0,0,1,1
AT1G05027,0,8,3,7,7,4
AT1G05030,140,126,124,84,164,146
AT1G05033,94,31,43,73,57,69
AT1G05035,0,1,0,0,0,1
AT1G05037,0,0,0,0,0,0
AT1G05040,0,3,0,3,2,1
AT1G05043,9,3,11,4,5,7
AT1G05047,82,36,51,32,48,47
AT1G05053,0,0,0,0,0,0
AT1G05055,213,146,128,177,157,189
AT1G05057,807,635,689,148,468,805
AT1G05060,166,135,142,200,237,287
AT1G05065,44,44,49,25,30,33
AT1G05067,0,0,0,3,1,3
AT1G05070,412,264,250,223,293,342
AT1G05073,0,1,2,0,1,0
AT1G05077,1,0,0,1,0,0
